Marca;Nombre;Precio_Actual;Precio_Antiguo;Descuento;Valoracion
ACER;"
			Portátil - Acer Aspire 3 A315-54K, 15.6"" Full-HD, Intel® Core™ i5-6200U, 12 GB, 512 GB SSD, W10 Home, Negro";499,-;"


		550,-";"
		Te ahorras: € 51,00";No Valorado
HP;"
			Portátil - HP 15s-fq1008ns, 15.6"" HD, Intel® Core™ i5-1035G1, 8 GB RAM, 512 GB SSD, W10, Blanco";599,-;"


		655,-";"
		Te ahorras: € 56,00";['value-3-5']
LENOVO;"
			Portátil - Lenovo S145-15IIL, 15.6 "" FHD, Intel® Core™ i5-1035G1, 8 GB, 512 GB SSD, Windows 10H, Gris oscuro";599,-;Sin descuento;Sin descuento;No Valorado
HP;"
			Portátil - HP 15-db1001ns, 15.6"" HD, AMD Ryzen™ 3 3200U, 8 GB RAM, 256 GB, W10, Negro";399,-;"


		441,-";"
		Te ahorras: € 42,00";['value-5']
ACER;"
			Portátil - Acer Aspire 3 A315-54K-30CQ, 15.6"" FHD, Intel® Core™ i3-6006U, 8 GB RAM, 256 GB SSD, W10, Negro";399,-;"


		439,-";"
		Te ahorras: € 40,00";No Valorado
LENOVO;"
			Portátil - Lenovo IdeaPad S340-15IIL, 15.6"" FHD, Intel® Core™ i7-1065G7, 8GB RAM, 512 GB SSD, W10, Gris oscuro";703,-;Sin descuento;Sin descuento;No Valorado
HP;"
			Portátil - HP 15-db0113ns, 15.6"" HD, AMD A4-9125, 8 GB, 128 SSD, AMD Radeon R3, FreeDOS, Negro";239,-;"


		259,-";"
		Te ahorras: € 20,00";['value-4']
HP;"
			Portátil - HP 15s-fq1055ns, 15.6"" Full HD, Intel® Core™ i7-1065G7, 8GB RAM, 512GB, FreeDos, Blanco";Agotado;Agotado;Agotado;['value-4']
HP;"
			Portátil - HP Notebook - 15-db0114ns, 15.6"" HD, AMD Dual Core A6-9225 , 8GB RAM, 256GB SSD, FDOS, Blanco nieve";299,-;"


		319,-";"
		Te ahorras: € 20,00";['value-1']
MICROSOFT;"
			Convertible 2 en 1 -  Microsoft Surface Pro 7, 12.3 "", Intel® Core™ i5-1035G4, 8 GB RAM, 128 GB, W10";999,-;Sin descuento;Sin descuento;['value-1']
HP;"
			Portátil - HP 14 - dk0004ns, 14"" HD, AMD A9-9425 Dual-Core, 8 GB, SSD 512 GB, AMD Radeon™ R5, W10, Plata";429,-;Sin descuento;Sin descuento;['value-4']
HP;"
			Portátil - HP Chromebook x360 11 G2 EE, 11,6"" HD, Intel® Celeron® N4000, 4 GB, 32 GB eMMC, Chrome OS, Negro";299,-;"


		333,-";"
		Te ahorras: € 34,00";No Valorado
ASUS;"
			Portátil - ASUS R540MA-GQ757, 15.6"" HD, Intel® Celeron® N4000, 4GB, 256GB SSD, FreeDOS";210,-;Sin descuento;Sin descuento;['value-2']
HP;"
			Portátil - HP 14S-dq1004ns, 14"" Full HD, Intel® Core™ i5-1035G1, 8GB RAM, 256GB SSD, W10, Plata";599,-;"


		660,-";"
		Te ahorras: € 61,00";No Valorado
HP;"
			Portátil - HP Notebook 14s-dq1007ns, 14"" HD, Intel® Core™ i3-1005G1, 8 GB RAM, 512 GB SSD, FreeDOS, Blanco";399,-;"


		429,-";"
		Te ahorras: € 30,00";No Valorado
ACER;"
			Portátil gaming - Acer Nitro 5 AN515-52-5336 15.6"" Intel® Core™ i5-8300H 8GB GTX1050 128GB+1TB, FreeDOS";699,-;"


		799,-";"
		Te ahorras: € 100,00";['value-5']
LENOVO;"
			Portátil - Lenovo S145-15IIL , 15.6"" Full-HD, Intel® Core™ i7-1065G7, 8 GB, 512 GB SSD, Windows 10 Home, Plata";680,-;Sin descuento;Sin descuento;No Valorado
APPLE;"
			APPLE MacBook Air MVFH2Y/A, 13.3"" Retina, Intel® Core™ i5-8210Y, 8 GB, 128 GB SSD, Gris espacial";999,-;"


		1249,-";"
		Te ahorras: € 250,00";['value-5']
ASUS;"
			Portátil - ASUS VivoBook 15 S512UA-BR038T, 15.6"" HD, Intel® Core™ i3-7020U, 8GB, 256GB SSD, W10";499,-;"


		549,-";"
		Te ahorras: € 50,00";No Valorado
HP;"
			Portátil - HP 15s-fq1010ns, 15.6"" HD, Intel® Core™ i7-1065G7, 8GB RAM, 256GB SSD, Windows 10, Blanco";699,-;Sin descuento;Sin descuento;No Valorado
HP;"
			Portátil - HP 15s-fq1010ns, 15.6"" HD, Intel® Core™ i7-1065G7, 8GB RAM, 256GB SSD, Windows 10, Blanco";699,-;Sin descuento;Sin descuento;No Valorado
HP;"
			Portátil - HP 14-dk0025ns, 14"" HD, AMD A4-9125, 4 GB, 256 GB SSD, AMD Radeon R3, W10 Home, Blanco";329,-;"


		349,-";"
		Te ahorras: € 20,00";No Valorado
MSI;"
			Portátil gaming - MSI GF63 Thin 9SC-047XES, 15.6"" FHD, Intel® Core™ i7-9750H, 16GB, 512SSD, GTX1650 MAX, FDOS";898,-;"


		949,-";"
		Te ahorras: € 51,00";['value-4']
HP;"
			Portátil - HP Notebook - 15-db1026ns, 15.6"" HD, AMD Ryzen™ 3 3200U, 8 GB RAM, 512 SSD, Windows 10, Negro";423,-;Sin descuento;Sin descuento;No Valorado
ASUS;"
			Portátil gaming - ASUS VivoBook 15 S512FA-BR1580T, 15.6"", HD, i3-8145U, 8GB, 256GB SSD, Graphics 620, W10";499,-;Sin descuento;Sin descuento;No Valorado
HP;"
			Portátil - HP Notebook 15-db0073ns, 15.6"" HD, AMD A6-9225, 8 GB RAM, 256 GB SSD, AMD Radeon™ R4, W10, Blanco";375,-;Sin descuento;Sin descuento;No Valorado
APPLE;"
			APPLE MacBook Air MVFK2Y/A, 13.3"" Retina, Intel® Core™ i5-8210Y, 8 GB, 128 GB SSD, Plata";999,-;Sin descuento;Sin descuento;No Valorado
ASUS;"
			Portátil gaming - ASUS TUF FX505GT-BQ028, 15.6"", FHD, Intel® Core™ i7-9750H, 16GB, 512GB SSD, GTX1650, FreeDOS";878,-;Sin descuento;Sin descuento;['value-5']
ACER;"
			Portátil - Acer A515-54, 15.6"" Full-HD, Intel® Core™ i5-10210U, 8 GB, 512 GB SSD, Windows 10 Home, Plata";599,-;"


		661,-";"
		Te ahorras: € 62,00";No Valorado
HP;"
			Portátil - HP 14s-dq1003ns, 14"" Full HD, Intel® Core™ i3-1005G1, 8GB RAM, 256GB SSD, W10, Plata";499,-;"


		552,-";"
		Te ahorras: € 53,00";No Valorado
ASUS;"
			Portátil - ASUS ZenBook 14 UX431FA-AM132T, 14"" FHD, Intel® Core™ i5-10210U, 8GB, 512GB SSD, W10";799,-;Sin descuento;Sin descuento;['value-5']
APPLE;"
			APPLE MacBook Air MQD32Y/A, 13.3 "" WXGA+, Intel® Core™ i5-5350U, 8 GB, 128 GB SSD, MacOS, Plata";948,-;Sin descuento;Sin descuento;['value-5']
ASUS;"
			Portátil gaming - ASUS TUF FX505DT-BQ121, 15.6"" FHD, AMD® Ryzen™ 7 3750H, 16GB, 512GB SSD, GTX1650, FreeDOS";799,-;Sin descuento;Sin descuento;No Valorado
APPLE;"
			APPLE MacBook Air MVFM2Y/A, 13.3"" Retina, Intel® Core™ i5-8210Y, 8 GB, 128 GB SSD, Oro";999,-;"


		1249,-";"
		Te ahorras: € 250,00";['value-5']
HP;"
			Portátil - HP 14S-DQ1009NS, 14 "" HD, Intel® Core™ i7-1065G7, 8 GB, 512 GB SSD, Windows 10 Home, Plata";Agotado;Agotado;Agotado;No Valorado
HUAWEI;"
			Portátil - Huawei MateBook D 2018, 15.6"" FHD, Intel® Core™ i5-8250U, 8 GB RAM, 512 GB SSD, W10, Plata";699,-;"


		849,-";"
		Te ahorras: € 150,00";No Valorado
LENOVO;"
			Convertible 2 en 1 - Lenovo Ideapad C340-14IML, 14"" FHD, Intel® Core™ i3-10110U , 8 GB, 512GB SSD, W10, Gris";616,-;Sin descuento;Sin descuento;No Valorado
HP;"
			Portátil -  HP 15-db0074ns, 15.6"" HD, AMD Dual Core™ A6-9225, 8GB RAM, 256GB SSD,  Windows 10, Azul";379,-;"


		399,-";"
		Te ahorras: € 20,00";['value-2-5']
ACER;"
			Portátil - Acer A515-43, 15.6 "" HD, AMD Ryzen™ 5 3500U, 8 GB, 512 GB SSD, Windows 10 Home, Plata";499,-;"


		551,-";"
		Te ahorras: € 52,00";No Valorado
HP;"
			Portátil gaming - HP Pavilion - 15-ec0004ns, 15.6"" FHD, AMD Ryzen™ 5 3550H, 8GB, 512GB, GTX 1650, FDOS, Negro";699,-;Sin descuento;Sin descuento;['value-5']
LENOVO;"
			Portátil - Lenovo S145-15IKB, 15.6 "" HD, Intel® Core™ i3-7020U , 8 GB, 256 GB SSD, Windows 10 Home, Plata";469,-;Sin descuento;Sin descuento;No Valorado
HP;"
			Portátil - HP 15s-fq1008ns, 15.6"" HD, Intel® Core™ i5-1035G1, 8 GB RAM, 512 GB SSD, W10 + Arranque Optimizado";628,-;"


		684,-";"
		Te ahorras: € 56,00";No Valorado
HP;"
			Portátil -  HP Pavilion 14-ce3003ns, 14"" Full HD, Intel® Core™ i5-1035G1, 8GB RAM 512GB, W10Home, Blanco";769,-;Sin descuento;Sin descuento;No Valorado
ACER;"
			Portátil - Acer A514-52-334A, 14"" HD, Intel® Core™ i3-10110U, 8 GB RAM, 256 GB SSD, W10, Plata";469,-;"


		499,-";"
		Te ahorras: € 30,00";No Valorado
